y,giatri,DT,TN,SPT,GTC,VPCT,LS
0,0,70,110,2,0,0,0
1,190,56,150,3,100,0,1
1,155,95,163,2,100,1,0
1,180,65,150,2,300,1,1
1,140,102,445,3,800,0,1
1,100,73,325,1,260,0,0
1,480,74,294,4,400,1,1
1,420,56,213,1,250,0,0
0,0,17,70,0,0,1,0
0,0,95,80,1,0,0,0
1,180,65,375,2,330,0,1
0,0,102,145,0,0,1,0
0,0,45,67,2,0,0,0
1,485,94,165,2,180,0,1
1,400,95,255,2,180,0,1
1,120,95,350,4,180,1,0
0,0,65,165,3,0,1,0
0,0,102,70,1,0,1,0
0,0,48,100,2,0,1,0
0,0,16,90,1,0,1,1
1,195,84,215,0,120,0,1
0,0,95,60,0,0,1,1
1,160,65,255,1,190,1,0
0,0,102,105,1,60,1,0
1,160,24,285,3,170,1,0
0,0,56,170,2,60,1,0
1,158,44,174,0,100,0,1
1,165,95,305,0,150,1,1
1,146,65,205,2,80,1,1
1,155,102,175,2,150,0,0
0,0,55,180,2,70,0,0
1,190,86,205,3,350,1,0
1,200,91,295,4,340,0,0
1,250,38,153,3,400,0,1
0,0,45,130,2,80,0,1
0,0,36,126,2,80,1,0
1,300,88,505,2,880,1,0
1,300,120,415,2,500,0,1
1,150,60,225,2,300,0,1
1,150,95,110,2,200,1,1
1,220,86,215,3,400,0,0
0,0,94,109,3,90,0,0
1,150,74,153,3,120,0,1
0,0,20,125,1,60,1,0
0,0,18,76,2,100,1,0
1,180,78,375,2,280,0,0
0,0,17,143,2,150,0,0
0,0,48,79,2,200,1,1
1,145,59,235,2,100,0,0
1,150,56,154,2,100,0,0
1,154,54,305,2,120,0,1
1,155,56,205,1,140,0,1
1,158,25,120,2,200,0,0
1,159,37,145,1,150,0,0
1,160,88,295,2,180,0,1
1,160,80,265,3,160,0,1
1,160,90,225,3,210,0,0
1,166,43,120,1,260,0,1
1,175,56,152,1,260,0,1
1,177,54,255,2,240,0,1
1,178,77,150,3,350,0,0
1,180,95,210,3,400,0,1
1,180,44,130,2,300,1,1
1,80,60,235,2,210,0,0
1,88,45,145,4,260,0,0
1,90,74,255,2,240,1,0
1,110,25,135,3,350,0,0
1,120,47,215,2,320,0,1
1,120,56,149,2,380,0,0
1,122,74,235,2,400,0,0
1,124,90,275,2,360,0,0
1,128,47,205,3,500,0,0
1,128,88,238,4,550,0,0
1,140,94,280,4,480,0,1
1,145,56,239,1,600,0,0
1,148,76,155,2,410,0,1
1,150,89,222,2,240,1,0
1,158,53,120,2,250,0,0
1,160,52,106,2,280,0,1
1,170,53,180,3,380,0,0
1,177,22,145,4,300,0,0
1,178,46,130,3,400,0,1
1,180,31,131,4,350,1,0
1,180,34,154,1,300,0,1
1,200,77,182,1,320,0,0
1,218,95,140,1,300,1,0
1,220,44,285,3,300,0,1
1,250,60,145,4,350,0,1
1,260,45,235,3,600,1,1
1,280,74,165,3,550,0,0
1,280,25,239,4,500,0,1
1,285,47,255,4,600,0,1
1,300,56,235,2,500,0,1
1,312,74,205,2,800,0,1
1,330,90,201,3,500,0,0
1,345,47,205,4,700,0,1
1,360,88,225,4,500,0,0
0,0,94,130,1,180,1,0
0,0,26,131,3,150,1,0
0,0,28,127,3,140,1,0
0,0,30,184,2,50,1,1
0,0,34,195,1,50,0,0
0,0,32,165,2,60,0,0
0,0,31,265,2,70,0,0
0,0,26,210,3,80,1,0
0,0,77,133,1,50,1,0
0,0,95,155,1,110,1,1
0,0,44,128,0,110,0,0
0,0,60,215,0,120,0,0
0,0,45,213,3,130,1,0
0,0,74,184,4,140,1,1
0,0,25,310,3,60,1,0
0,0,47,129,1,80,0,0
1,80,56,165,3,100,0,0
1,88,74,145,3,110,0,0
1,56,90,155,2,120,1,1
1,48,47,130,2,100,1,0
1,100,88,120,2,180,0,1
1,120,94,190,2,200,0,0
1,250,47,180,2,400,0,1
1,80,28,165,2,110,1,0
1,90,34,155,2,120,1,0
1,70,27,130,2,120,1,0
1,60,22,120,3,100,1,0
1,110,38,145,3,160,0,0
1,120,44,155,2,150,1,0
1,125,38,245,2,250,1,1
1,130,30,215,3,260,0,1
1,140,37,235,2,300,0,0
1,150,40,195,2,300,0,1
0,0,33,145,2,80,0,0
0,0,40,135,1,50,1,0
0,0,25,126,1,50,1,0
0,0,30,133,1,100,1,0
0,0,28,130,2,180,0,1
0,0,37,130,2,190,0,0
0,0,30,180,1,200,0,0
0,0,29,170,1,220,1,0
0,0,35,155,2,250,1,1
0,0,38,170,3,300,1,1
0,0,26,180,2,300,0,0
0,0,24,163,3,400,1,0
0,0,31,235,2,400,1,0
0,0,40,170,2,100,1,0
0,0,30,255,2,50,1,0
0,0,42,265,1,50,1,1
1,200,50,255,2,300,0,1
1,80,40,165,1,120,1,0
1,85,35,130,2,150,1,0
1,50,35,130,1,150,1,0
1,70,30,120,4,100,1,1
1,120,60,155,4,200,1,1
1,110,60,170,2,250,0,1
1,80,28,145,3,170,0,1
1,90,22,135,1,180,0,0
1,100,45,165,2,250,0,1
1,40,34,150,3,100,0,1
1,55,45,163,2,100,1,0
1,80,77,150,2,300,1,1
1,400,100,445,3,800,0,1
1,100,63,325,1,260,0,0
1,180,74,294,4,400,1,1
1,120,56,213,1,250,0,0
0,0,17,70,0,0,1,0
0,0,45,80,1,0,0,0
1,80,120,375,2,330,0,1
0,0,36,145,0,0,1,0
0,0,45,67,2,0,0,0
1,85,94,165,2,180,0,1
1,100,95,255,2,180,0,1
1,120,90,350,4,180,1,0
0,0,34,165,3,0,1,0
0,0,35,70,1,0,1,0
0,0,48,100,2,0,1,0
0,0,16,90,1,0,1,1
1,50,84,215,0,120,0,1
0,0,22,60,0,0,1,1
1,60,54,255,1,190,1,0
0,0,26,105,1,60,1,0
1,60,24,285,3,170,1,0
0,0,56,170,2,60,1,0
1,58,44,174,0,100,0,1
1,65,41,305,0,150,1,1
1,46,42,205,2,80,1,1
1,55,47,175,2,150,0,0
0,0,55,180,2,70,0,0
1,90,86,205,3,350,1,0
1,200,91,295,4,340,0,0
1,250,38,153,3,400,0,1
0,0,14,130,2,80,0,1
0,0,47,126,2,80,1,0
1,300,88,505,2,880,1,0
1,300,120,415,2,500,0,1
1,150,60,225,2,300,0,1
1,150,48,110,2,200,1,1
1,220,85,215,3,400,0,0
0,0,56,109,3,90,0,0
1,50,74,153,3,120,0,1
0,0,20,125,1,60,1,0
0,0,18,76,2,100,1,0
1,80,78,375,2,280,0,0
0,0,17,143,2,150,0,0
0,0,48,79,2,200,1,1
1,45,59,235,2,100,0,0
1,50,56,154,2,100,0,0
1,54,54,305,2,120,0,1
1,55,56,205,1,140,0,1
1,58,45,120,2,200,0,0
1,59,88,145,1,150,0,0
1,60,64,295,2,180,0,1
1,60,80,265,3,160,0,1
1,60,90,225,3,210,0,0
1,66,43,120,1,260,0,1
1,75,56,152,1,260,0,1
1,77,54,255,2,240,0,1
1,78,77,150,3,350,0,0
1,80,38,210,3,400,0,1
1,80,44,130,2,300,1,1
1,80,60,235,2,210,0,0
1,88,45,145,4,260,0,0
1,90,74,255,2,240,1,0
1,110,25,135,3,350,0,0
1,120,47,215,2,320,0,1
1,120,56,149,2,380,0,0
1,122,74,235,2,400,0,0
1,124,90,275,2,360,0,0
1,128,47,205,3,500,0,0
1,128,88,238,4,550,0,0
1,140,94,280,4,480,0,1
1,145,76,239,1,600,0,0
1,148,27,155,2,410,0,1
1,150,56,222,2,240,1,0
1,158,53,120,2,250,0,0
1,160,52,106,2,280,0,1
1,170,53,180,3,380,0,0
1,177,22,145,4,300,0,0
1,178,46,130,3,400,0,1
1,180,31,131,4,350,1,0
1,180,34,154,1,300,0,1
1,200,36,182,1,320,0,0
1,218,25,140,1,300,1,0
1,220,53,285,3,300,0,1
1,250,20,145,4,350,0,1
1,260,55,235,3,600,1,1
1,280,38,165,3,550,0,0
1,280,56,239,4,500,0,1
1,285,78,255,4,600,0,1
1,300,80,235,2,500,0,1
1,312,36,205,2,800,0,1
1,330,33,201,3,500,0,0
1,345,68,205,4,700,0,1
1,360,110,225,4,500,0,0
0,0,24,130,1,180,1,0
0,0,26,131,3,150,1,0
0,0,28,127,3,140,1,0
0,0,30,184,2,50,1,1
0,0,34,195,1,50,0,0
0,0,32,165,2,60,0,0
0,0,31,265,2,70,0,0
0,0,26,210,3,80,1,0
0,0,28,133,1,50,1,0
0,0,22,155,1,110,1,1
0,0,34,128,0,110,0,0
0,0,44,215,0,120,0,0
0,0,42,213,3,130,1,0
0,0,35,184,4,140,1,1
0,0,56,310,3,60,1,0
0,0,24,129,1,80,0,0
1,80,34,165,3,100,0,0
1,88,25,145,3,110,0,0
1,56,25,155,2,120,1,1
1,48,30,130,2,100,1,0
1,100,45,120,2,180,0,1
1,120,31,190,2,200,0,0
1,250,47,180,2,400,0,1
1,80,28,165,2,110,1,0
1,90,34,155,2,120,1,0
1,70,27,130,2,120,1,0
1,60,22,120,3,100,1,0
1,110,38,145,3,160,0,0
1,120,44,155,2,150,1,0
1,125,38,245,2,250,1,1
1,130,30,215,3,260,0,1
1,140,37,235,2,300,0,0
1,150,40,195,2,300,0,1
0,0,33,145,2,80,0,0
0,0,40,135,1,50,1,0
0,0,25,126,1,50,1,0
0,0,30,133,1,100,1,0
0,0,28,130,2,180,0,1
0,0,37,130,2,190,0,0
0,0,30,180,1,200,0,0
0,0,29,170,1,220,1,0
0,0,35,155,2,250,1,1
0,0,38,170,3,300,1,1
0,0,26,180,2,300,0,0
0,0,24,163,3,400,1,0
0,0,31,235,2,400,1,0
0,0,40,170,2,100,1,0
0,0,30,255,2,50,1,0
0,0,42,265,1,50,1,1
1,200,50,255,2,300,0,1
1,80,40,165,1,120,1,0
1,85,35,130,2,150,1,0
1,50,35,130,1,150,1,0
1,70,30,120,4,100,1,1
1,120,60,155,4,200,1,1
1,110,60,170,2,250,0,1
1,80,28,145,3,170,0,1
1,90,22,135,1,180,0,0
1,100,45,165,2,250,0,1
